Order time,Net sales
01/08/2026,945.76
31/07/2026,666.98
30/07/2026,571.16
29/07/2026,513.37
28/07/2026,546.14
27/07/2026,347.7
26/07/2026,449.53
25/07/2026,640.32
24/07/2026,637.55
23/07/2026,670.12
22/07/2026,588.08
21/07/2026,545.14
20/07/2026,334.82
19/07/2026,577.67
18/07/2026,894.41
17/07/2026,756.79
16/07/2026,557.73
15/07/2026,298.77
14/07/2026,437.13
13/07/2026,374.91
12/07/2026,435.61
11/07/2026,700.43
10/07/2026,484.85
09/07/2026,401.32
08/07/2026,333.76
07/07/2026,442.69
06/07/2026,249.41
05/07/2026,606.62
04/07/2026,979.97
03/07/2026,599.04
02/07/2026,481.68
01/07/2026,354.69
30/06/2026,391.24
29/06/2026,296.82
28/06/2026,670.17
27/06/2026,509.53
26/06/2026,933.23
25/06/2026,709.53
24/06/2026,360.62
23/06/2026,409.93
22/06/2026,305.86
21/06/2026,630.74
20/06/2026,839.93
19/06/2026,651.12
18/06/2026,381.53
17/06/2026,453.75
16/06/2026,378.85
15/06/2026,468.13
14/06/2026,727.87
13/06/2026,"1,166.96"
12/06/2026,444.15
11/06/2026,596.34
10/06/2026,226.88
09/06/2026,398.9
08/06/2026,218.9
07/06/2026,644.93
06/06/2026,"1,398.54"
05/06/2026,930.12
04/06/2026,341.49
03/06/2026,601.63
02/06/2026,446.84
01/06/2026,363.63
31/05/2026,802.44
30/05/2026,836.61
29/05/2026,844.6
28/05/2026,899.83
27/05/2026,416.84
26/05/2026,408.66
25/05/2026,885.99
24/05/2026,479.68
23/05/2026,798.14
22/05/2026,721.88
21/05/2026,460.92
20/05/2026,531.68
19/05/2026,354.37
18/05/2026,228.39
17/05/2026,712.76
16/05/2026,"1,438.41"
15/05/2026,886.95
14/05/2026,283.24
13/05/2026,254.58
12/05/2026,464.75
11/05/2026,423.5
10/05/2026,621.78
09/05/2026,"1,409.00"
08/05/2026,765.8
07/05/2026,474.92
06/05/2026,531.37
05/05/2026,463.55
04/05/2026,"1,110.28"
03/05/2026,"1,182.50"
02/05/2026,"1,136.13"
01/05/2026,694.2
30/04/2026,495.54
29/04/2026,597.35
28/04/2026,685.79
27/04/2026,372.36
26/04/2026,794.03
25/04/2026,883.08
24/04/2026,"1,031.48"
23/04/2026,532.73
22/04/2026,606.87
21/04/2026,305.89
20/04/2026,516.75
19/04/2026,583.18
18/04/2026,756.44
17/04/2026,681.53
16/04/2026,482.23
15/04/2026,688.33
14/04/2026,449.64
13/04/2026,419.59
12/04/2026,529.61
11/04/2026,"1,046.36"
10/04/2026,"1,143.47"
09/04/2026,820.98
08/04/2026,545.18
07/04/2026,416.23
06/04/2026,902.62
05/04/2026,618.44
04/04/2026,"1,156.83"
03/04/2026,"1,345.86"
02/04/2026,658.25
01/04/2026,431.87
31/03/2026,659.97
30/03/2026,608.23
29/03/2026,866.44
28/03/2026,"1,164.97"
27/03/2026,784.44
26/03/2026,478.38
25/03/2026,470.53
24/03/2026,332.77
23/03/2026,330.2
22/03/2026,700.85
21/03/2026,"1,142.86"
20/03/2026,687.47
